,box date,month,wkday,game type,game count,list of games
,2022-06-12,Jun,Sun,Regular Season,15,PIT-ATL ... ARI-PHI ... COL-SDN ... LAN-SFN ... CIN-SLN ... MIL-WAS ... NYN-ANA ... TEX-CHA ... OAK-CLE ... TOR-DET ... MIA-HOU ... BAL-KCA ... TBA-MIN ... CHN-NYA ... BOS-SEA
,2022-06-13,Jun,Mon,Regular Season,10,CIN-ARI ... SDN-CHN ... MIA-PHI ... KCA-SFN ... PIT-SLN ... ATL-WAS ... CHA-DET ... MIN-SEA ... HOU-TEX ... BAL-TOR
,2022-06-14,Jun,Tue,Regular Season,16,CIN-ARI ... SDN-CHN ... CLE-COL ... ANA-LAN ... MIL-NYN ... MIA-PHI ... KCA-SFN ... PIT-SLN ... PIT-SLN ... ATL-WAS ... OAK-BOS ... CHA-DET ... TBA-NYA ... MIN-SEA ... HOU-TEX ... BAL-TOR
,2022-06-15,Jun,Wed,Regular Season,15,CIN-ARI ... SDN-CHN ... CLE-COL ... ANA-LAN ... MIL-NYN ... MIA-PHI ... KCA-SFN ... PIT-SLN ... ATL-WAS ... OAK-BOS ... CHA-DET ... TBA-NYA ... MIN-SEA ... HOU-TEX ... BAL-TOR
,2022-06-16,Jun,Thu,Regular Season,9,SDN-CHN ... CLE-COL ... MIL-NYN ... PHI-WAS ... OAK-BOS ... TEX-DET ... TBA-NYA ... ANA-SEA ... BAL-TOR
,2022-06-17,Jun,Fri,Regular Season,16,MIN-ARI ... ATL-CHN ... MIL-CIN ... SDN-COL ... CLE-LAN ... MIA-NYN ... SFN-PIT ... PHI-WAS ... PHI-WAS ... TBA-BAL ... SLN-BOS ... TEX-DET ... CHA-HOU ... KCA-OAK ... ANA-SEA ... NYA-TOR
,2022-06-18,Jun,Sat,Regular Season,16,MIN-ARI ... ATL-CHN ... MIL-CIN ... SDN-COL ... CLE-LAN ... MIA-NYN ... SFN-PIT ... PHI-WAS ... TBA-BAL ... SLN-BOS ... TEX-DET ... CHA-HOU ... KCA-OAK ... ANA-SEA ... ANA-SEA ... NYA-TOR
,2022-06-19,Jun,Sun,Regular Season,15,MIN-ARI ... ATL-CHN ... MIL-CIN ... SDN-COL ... CLE-LAN ... MIA-NYN ... SFN-PIT ... PHI-WAS ... TBA-BAL ... SLN-BOS ... TEX-DET ... CHA-HOU ... KCA-OAK ... ANA-SEA ... NYA-TOR
,2022-06-20,Jun,Mon,Regular Season,9,SFN-ATL ... SLN-MIL ... MIA-NYN ... CHN-PIT ... ARI-SDN ... KCA-ANA ... DET-BOS ... TOR-CHA ... NYA-TBA
,2022-06-21,Jun,Tue,Regular Season,15,SFN-ATL ... LAN-CIN ... COL-MIA ... SLN-MIL ... CHN-PIT ... ARI-SDN ... KCA-ANA ... WAS-BAL ... DET-BOS ... TOR-CHA ... NYN-HOU ... CLE-MIN ... SEA-OAK ... NYA-TBA ... PHI-TEX
