,box date,month,wkday,game type,game count,list of games
,2019-04-20,Apr,Sat,Regular Season,16,ARI-CHN ... PHI-COL ... WAS-MIA ... LAN-MIL ... SFN-PIT ... CIN-SDN ... NYN-SLN ... SEA-ANA ... MIN-BAL ... MIN-BAL ... ATL-CLE ... ATL-CLE ... KCA-NYA ... TOR-OAK ... BOS-TBA ... HOU-TEX
,2019-04-21,Apr,Sun,Regular Season,15,ARI-CHN ... PHI-COL ... WAS-MIA ... LAN-MIL ... SFN-PIT ... CIN-SDN ... NYN-SLN ... SEA-ANA ... MIN-BAL ... ATL-CLE ... CHA-DET ... KCA-NYA ... TOR-OAK ... BOS-TBA ... HOU-TEX
,2019-04-22,Apr,Mon,Regular Season,9,WAS-COL ... PHI-NYN ... ARI-PIT ... MIL-SLN ... NYA-ANA ... CHA-BAL ... MIN-HOU ... TEX-OAK ... KCA-TBA
,2019-04-23,Apr,Tue,Regular Season,16,LAN-CHN ... ATL-CIN ... WAS-COL ... PHI-NYN ... ARI-PIT ... SEA-SDN ... MIL-SLN ... NYA-ANA ... CHA-BAL ... DET-BOS ... DET-BOS ... MIA-CLE ... MIN-HOU ... TEX-OAK ... KCA-TBA ... SFN-TOR
,2019-04-24,Apr,Wed,Regular Season,15,LAN-CHN ... ATL-CIN ... WAS-COL ... PHI-NYN ... ARI-PIT ... SEA-SDN ... MIL-SLN ... NYA-ANA ... CHA-BAL ... DET-BOS ... MIA-CLE ... MIN-HOU ... TEX-OAK ... KCA-TBA ... SFN-TOR
,2019-04-25,Apr,Thu,Regular Season,8,LAN-CHN ... ATL-CIN ... MIA-PHI ... ARI-PIT ... NYA-ANA ... DET-BOS ... CLE-HOU ... TEX-SEA
,2019-04-26,Apr,Fri,Regular Season,14,CHN-ARI ... COL-ATL ... PIT-LAN ... MIL-NYN ... MIA-PHI ... NYA-SFN ... CIN-SLN ... SDN-WAS ... DET-CHA ... CLE-HOU ... ANA-KCA ... BAL-MIN ... TEX-SEA ... OAK-TOR
,2019-04-27,Apr,Sat,Regular Season,14,CHN-ARI ... COL-ATL ... PIT-LAN ... MIL-NYN ... MIA-PHI ... NYA-SFN ... CIN-SLN ... SDN-WAS ... TBA-BOS ... CLE-HOU ... ANA-KCA ... BAL-MIN ... TEX-SEA ... OAK-TOR
,2019-04-28,Apr,Sun,Regular Season,15,CHN-ARI ... COL-ATL ... PIT-LAN ... MIL-NYN ... MIA-PHI ... NYA-SFN ... CIN-SLN ... SDN-WAS ... TBA-BOS ... DET-CHA ... CLE-HOU ... ANA-KCA ... BAL-MIN ... TEX-SEA ... OAK-TOR
,2019-04-29,Apr,Mon,Regular Season,9,SDN-ATL ... COL-MIL ... CIN-NYN ... LAN-SFN ... SLN-WAS ... OAK-BOS ... BAL-CHA ... TBA-KCA ... HOU-MIN
,2019-04-30,Apr,Tue,Regular Season,13,NYA-ARI ... SDN-ATL ... CLE-MIA ... COL-MIL ... CIN-NYN ... DET-PHI ... LAN-SFN ... SLN-WAS ... TOR-ANA ... OAK-BOS ... HOU-MIN ... CHN-SEA ... PIT-TEX
,2019-05-01,May,Wed,Regular Season,17,NYA-ARI ... SDN-ATL ... CLE-MIA ... COL-MIL ... CIN-NYN ... DET-PHI ... LAN-SFN ... SLN-WAS ... TOR-ANA ... OAK-BOS ... BAL-CHA ... BAL-CHA ... TBA-KCA ... TBA-KCA ... HOU-MIN ... CHN-SEA ... PIT-TEX
,2019-05-02,May,Thu,Regular Season,8,SDN-ATL ... COL-MIL ... CIN-NYN ... SLN-WAS ... TOR-ANA ... BOS-CHA ... TBA-KCA ... HOU-MIN
,2019-05-03,May,Fri,Regular Season,14,SLN-CHN ... SFN-CIN ... ARI-COL ... ATL-MIA ... NYN-MIL ... WAS-PHI ... OAK-PIT ... LAN-SDN ... TBA-BAL ... BOS-CHA ... SEA-CLE ... KCA-DET ... MIN-NYA ... TOR-TEX
,2019-05-04,May,Sat,Regular Season,15,SLN-CHN ... SFN-CIN ... ARI-COL ... ATL-MIA ... NYN-MIL ... WAS-PHI ... OAK-PIT ... LAN-SDN ... HOU-ANA ... TBA-BAL ... BOS-CHA ... SEA-CLE ... KCA-DET ... MIN-NYA ... TOR-TEX
,2019-05-05,May,Sun,Regular Season,14,SLN-CHN ... SFN-CIN ... ARI-COL ... ATL-MIA ... NYN-MIL ... WAS-PHI ... OAK-PIT ... LAN-SDN ... HOU-ANA ... BOS-CHA ... SEA-CLE ... KCA-DET ... MIN-NYA ... TOR-TEX
,2019-05-06,May,Mon,Regular Season,12,MIA-CHN ... SFN-CIN ... ATL-LAN ... WAS-MIL ... NYN-SDN ... PHI-SLN ... BOS-BAL ... CHA-CLE ... KCA-HOU ... SEA-NYA ... ARI-TBA ... MIN-TOR
,2019-05-07,May,Tue,Regular Season,15,MIA-CHN ... SFN-COL ... ATL-LAN ... WAS-MIL ... TEX-PIT ... NYN-SDN ... PHI-SLN ... BOS-BAL ... CHA-CLE ... ANA-DET ... KCA-HOU ... SEA-NYA ... CIN-OAK ... ARI-TBA ... MIN-TOR
,2019-05-08,May,Wed,Regular Season,14,MIA-CHN ... ATL-LAN ... WAS-MIL ... TEX-PIT ... NYN-SDN ... PHI-SLN ... BOS-BAL ... CHA-CLE ... ANA-DET ... KCA-HOU ... SEA-NYA ... CIN-OAK ... ARI-TBA ... MIN-TOR
,2019-05-09,May,Thu,Regular Season,10,ATL-ARI ... MIA-CHN ... SFN-COL ... WAS-LAN ... PIT-SLN ... CHA-CLE ... ANA-DET ... TEX-HOU ... SEA-NYA ... CIN-OAK
